,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
228,C1_03430W,4.53988686995,-0.46
229,C1_03440C,7.70386260506,0.499
230,C1_03450C,2.78499936779,-1.037
231,C1_03460C,2.78499936779,0.79
232,C1_03470C,2.36996186851,-0.309
233,C1_03480C,0.784999367789,0.271
234,C1_03490W,5.24443098643,0.699
235,C1_03510C,3.48543908593,1.254
236,C1_03570C,4.78499936779,
237,C1_03580W,0.784999367789,-3.48
238,C1_03610C,3.59235428985,0.216
239,C1_03640C,5.73919567818,0.378
240,C1_03650C,0.784999367789,-0.775
241,C1_03660W,7.24443098643,-0.578
242,C1_03670C,2.10692746268,0.221
243,C1_03680W,2.78499936779,0.665
244,C1_03690W,2.95492436923,0.996
245,C1_03700C,4.30856132385,
246,C1_03710C,2.95492436923,0.891
247,C1_03720C,2.10692746268,0.398
248,C1_03730C,4.48543908593,0.535
249,C1_03740W,2.78499936779,-1.508
250,C1_03750W,2.78499936779,-1.991
251,C1_03760C,2.78499936779,-0.706
252,C1_03770W,5.61788938195,-1.583
253,C1_03790C,3.59235428985,0.49
254,C1_03810C,3.10692746268,0.261
255,C1_03820W,3.6918899634,1.072
256,C1_03840W,6.3241581789,0.032
257,C1_03860C,2.78499936779,-0.378
258,C1_03870C,3.10692746268,2.826
259,C1_03880C,4.53988686995,2.047
260,C1_03890W,2.10692746268,2.304
261,C1_03910C,4.53988686995,0.091
262,C1_03920C,0.784999367789,0.551
263,C1_03930W,0.784999367789,0.323
264,C1_03940W,1.36996186851,-0.68
265,C1_03950C,4.03292688123,0.069
266,C1_03960C,1.36996186851,-0.411
267,C1_03970W,4.87246220904,-0.046
268,C1_03990W,5.89352382457,0.75
269,C1_04000C,5.97482392667,1.9
270,C1_04010C,4.24443098643,4.041
271,C1_04020C,3.87246220904,2.498
272,C1_04050C,3.95492436923,3.768
273,C1_04060W,0.784999367789,-0.667
274,C1_04080W,2.78499936779,-0.684
275,C1_04090C,0.784999367789,0.318
276,C1_04110W,2.36996186851,-0.847
277,C1_04120C,5.73919567818,-0.962
278,C1_04140W,2.78499936779,2.981
279,C1_04150C,2.36996186851,0.247
280,C1_04160C,2.36996186851,0.427
281,C1_04200C,3.78499936779,-0.433
282,C1_04220C,4.24443098643,-0.487
283,C1_04230W,2.78499936779,0.532
284,C1_04240C,2.95492436923,1.385
285,C1_04250C,3.10692746268,-0.494
286,C1_04260W,0.784999367789,7.271
287,C1_04270C,2.59235428985,0.903
288,C1_04300C,4.24443098643,1.168
289,C1_04310C,2.10692746268,-0.186
290,C1_04320W,4.82939348715,-1.422
291,C1_04340C,4.91428238473,2.93
292,C1_04350C,0.784999367789,0.336
293,C1_04400C,4.64298036292,0.245
294,C1_04420C,1.36996186851,-0.068
295,C1_04430C,7.09788232307,2.053
296,C1_04450C,3.6918899634,1.751
297,C1_04460C,2.95492436923,-0.124
298,C1_04470C,2.78499936779,1.732
299,C1_04480C,4.59235428985,-1.009
300,C1_04500W,8.09333839793,-0.23
301,C1_04510W,5.24443098643,1.006
302,C1_04530C,2.10692746268,-0.622
303,C1_04540C,2.78499936779,0.077
304,C1_04550W,2.36996186851,0.058
305,C1_04560W,3.24443098643,0.624
306,C1_04580C,4.03292688123,2.964
307,C1_04590W,4.10692746268,2.638
308,C1_04600C,2.78499936779,0.709
309,C1_04620W,6.99445273342,0.109
310,C1_04630C,5.97482392667,0.038
311,C1_04640W,3.78499936779,1.637
312,C1_04650W,6.84028180329,1.304
313,C1_04660W,2.10692746268,2.237
314,C1_04680W,7.57290192718,-2.737
315,C1_04690C,7.97975622221,-0.85
316,C1_04700C,2.10692746268,0.423
317,C1_04710C,5.36996186851,-0.41
318,C1_04720W,3.78499936779,-1.256
319,C1_04730C,7.03292688123,-0.289
320,C1_04740W,2.10692746268,2.136
321,C1_04750W,4.59235428985,0.757
322,C1_04760C,4.24443098643,-0.568
323,C1_04770C,3.6918899634,3.563
324,C1_04780C,7.45033528497,0.886
325,C1_04790W,7.30856132385,0.406
326,C1_04800C,4.03292688123,1.528
327,C1_04810W,3.36996186851,-0.127
328,C1_04820C,3.87246220904,0.54
329,C1_04840C,7.40705118725,-0.458
330,C1_04850C,2.36996186851,-0.863
331,C1_04860W,4.24443098643,-0.187
332,C1_04870W,6.27685246412,1.067
333,C1_04890W,4.82939348715,-0.558
334,C1_04900W,5.59235428985,1.759
335,C1_04910C,3.24443098643,1.401
336,C1_04930C,7.98957051204,1.037
337,C1_04940C,6.29279400799,-2.464
338,C1_04950C,5.82939348715,-0.16
339,C1_04960C,4.87246220904,-0.929
340,C1_04970W,7.79062391698,0.38
341,C1_04980C,4.59235428985,0.757
342,C1_04990C,5.10692746268,-0.626
343,C1_05000W,6.56635908131,-0.68
344,C1_05010C,5.91428238473,0.689
345,C1_05020C,5.3997092119,1.625
346,C1_05070C,6.51291982235,0.917
347,C1_05080W,4.24443098643,-0.29
348,C1_05090W,9.20074113608,-0.222
349,C1_05100W,8.3960241651,0.569
350,C1_05110C,-1.21500063221,0.296
351,C1_05120W,-2.79996313293,0.326
352,C1_05130W,-3.02235555427,0.096
353,C1_05140W,-2.5369287271,-0.723
354,C1_05150C,-1.21500063221,1.372
355,C1_05160C,-2.5369287271,1.896
356,C1_05170C,-5.60731805499,0.201
357,C1_05190C,-4.02235555427,-0.23
358,C1_05200C,-1.21500063221,-0.626
359,C1_05210C,-1.21500063221,0.547
360,C1_05220C,-4.67443225085,1.31
361,C1_05260C,-1.21500063221,0.812
362,C1_05280W,-1.21500063221,-0.073
363,C1_05300C,-2.5369287271,1.006
364,C1_05310W,-3.02235555427,-0.404
365,C1_05320C,-2.79996313293,0.115
366,C1_05330C,-1.21500063221,-0.574
367,C1_05340C,-3.38492563365,-2.057
368,C1_05350W,-2.5369287271,-1.216
369,C1_05360C,-6.44381932271,-1.308
370,C1_05370C,-1.79996313293,-1.147
371,C1_05380C,-3.67443225085,-1.409
372,C1_05400C,-2.79996313293,-0.35
373,C1_05410C,-5.46292814565,0.788
374,C1_05430W,-4.5369287271,-0.046
375,C1_05440C,-4.91544035035,-0.418
376,C1_05450W,-4.60731805499,
377,C1_05480C,-3.38492563365,1.472
378,C1_05490C,-3.02235555427,1.047
379,C1_05510C,-2.21500063221,-0.252
380,C1_05520W,-4.38492563365,0.598
381,C1_05530C,-5.21500063221,-0.272
382,C1_05540C,-3.02235555427,-2.381
383,C1_05550C,-1.21500063221,-4.745
384,C1_05570W,-4.5369287271,
385,C1_05580W,-6.99636034574,
386,C1_05590W,-4.67443225085,
387,C1_05600W,-5.46292814565,-0.358
388,C1_05620C,-1.21500063221,0.368
389,C1_05630C,-2.21500063221,-0.331
390,C1_05650W,-1.79996313293,0.484
391,C1_05670W,-7.24842363375,0.722
392,C1_05690C,-4.38492563365,-1.478
393,C1_05700W,-4.02235555427,-0.694
394,C1_05710C,-1.21500063221,0.814
395,C1_05730W,-4.5369287271,-1.426
396,C1_05740C,-1.21500063221,0.252
397,C1_05750C,-1.79996313293,-0.612
398,C1_05760C,-6.38492563365,5.58
399,C1_05770C,-2.5369287271,0.99
400,C1_05790W,-4.02235555427,-0.365
401,C1_05800C,-3.21500063221,-0.563
402,C1_05810W,-1.21500063221,0.375
403,C1_05820C,-5.73856258827,0.977
404,C1_05830W,-1.79996313293,2.637
405,C1_05840W,-8.32352508899,-0.723
406,C1_05850W,-2.79996313293,-1.551
407,C1_05860W,-2.21500063221,-0.229
408,C1_05870W,-4.46292814565,-0.875
409,C1_05880W,-3.5369287271,-2.488
410,C1_05890W,-1.21500063221,4.804
411,C1_05900W,-6.30246347346,-1.159
412,C1_05910W,-3.02235555427,0.708
413,C1_05920W,-7.21500063221,-0.017
414,C1_05930C,-2.21500063221,0.722
415,C1_05940W,-2.21500063221,11.29
416,C1_05950C,-3.91544035035,2.078
417,C1_05960W,-6.07298162734,3.628
418,C1_05970W,-5.30246347346,-0.086
419,C1_05980W,-1.21500063221,-0.282
420,C1_05990C,-1.21500063221,1.649
421,C1_06000W,-1.79996313293,4.465
422,C1_06010W,-5.57255263683,0.295
423,C1_06020W,-2.5369287271,0.894
424,C1_06030C,-1.21500063221,0.339
425,C1_06040W,-1.21500063221,0.088
426,C1_06050C,-8.73856258827,1.271
427,C1_06060C,-1.21500063221,0.61
428,C1_06090C,-4.21500063221,-1.341
429,C1_06120C,-4.85885682199,0.148
430,C1_06130C,-2.21500063221,1.117
431,C1_06140C,-4.46292814565,-0.972
432,C1_06150W,-1.21500063221,0.385
433,C1_06160W,-2.5369287271,0.718
434,C1_06180W,-3.91544035035,-0.602
435,C1_06190C,-2.21500063221,
436,C1_06200W,-1.79996313293,-0.466
437,C1_06210W,-4.21500063221,0.086
438,C1_06220C,-1.21500063221,0.16
439,C1_06250W,-6.12189122782,0.486
440,C1_06260W,-4.67443225085,0.582
441,C1_06270W,-2.5369287271,-0.577
442,C1_06280C,-2.79996313293,2.633
443,C1_06290C,-1.79996313293,4.376
444,C1_06300W,-1.21500063221,-0.404
445,C1_06310W,-2.21500063221,2.784
446,C1_06320W,-1.21500063221,-0.639
447,C1_06330W,-3.38492563365,5.95
448,C1_06340W,-1.21500063221,1.691
449,C1_06350W,-2.21500063221,-1.382
450,C1_06360W,-2.5369287271,-0.147
451,C1_06370C,-3.79996313293,2.554
452,C1_06380C,-6.23736844524,0.055
453,C1_06390W,-5.34428364916,-0.015
454,C1_06400C,-2.5369287271,-0.806
455,C1_06410W,-5.50040285107,0.174
456,C1_06420C,-3.5369287271,0.294
457,C1_06430C,-1.79996313293,-2.656
458,C1_06440C,-7.94971025244,-0.297
459,C1_06480C,-2.5369287271,0.38
460,C1_06490C,-1.21500063221,2.718
461,C1_06500W,-3.67443225085,1.614
462,C1_06510C,-1.21500063221,-1.215
463,C1_06520C,-3.79996313293,-0.647
464,C1_06530C,-5.85885682199,-0.463
465,C1_06550W,-4.69612732195,-0.643
466,C1_06560W,2.16351099104,0.008
467,C1_06570W,-1.21500063221,0.52
468,C1_06590C,-2.38492563365,-0.574
469,C1_06600W,-0.215000632211,-0.984
470,C1_06610C,-1.27085386694,4.146
471,C1_06620C,1.44796438051,2.248
472,C1_06640C,1.21126412249,0.182
473,C1_06650W,-4.5654978793,-0.117
474,C1_06660W,0.784999367789,-1.408
475,C1_06670W,3.32105226803,-0.243
476,C1_06680W,4.24443098643,0.065
477,C1_06700W,-2.60731805499,0.713
478,C1_06720C,3.91428238473,1.818
479,C1_06730W,-2.33047784963,-0.385
480,C1_06740C,0.36996186851,0.255
481,C1_06750W,-5.43739305355,0.15
482,C1_06780W,-2.21500063221,0.54
483,C1_06800W,1.48543908593,0.484
484,C1_06810W,-0.799963132932,0.368
485,C1_06820W,-2.5369287271,-0.461
