S score (FLC+Geld-FLC),RNA Seq A17 in vs. out
-5.622621458,0.097
-0.692322163599997,-0.468
1.1941622214,-0.628
-0.751891429800001,0.893
-1.9079327841,-0.237
-6.6985703112,-0.906
-7.4243953478,-0.773
-2.7350961872,0.117
-3.4131680923,0.285
-1.4378301466,0.279
-0.413168092299998,1.711
-1.279554864,-0.24
-0.413168092299998,1.656
-5.3479254815,-0.154
-1.4567158081,-0.558
-7.2075839587,0.097
-7.5930771824,0.138
-8.4630166418,-1.019
-1.4131680923,-0.153
-2.9968510409,0.336
-0.193999571900001,-0.093
-6.9523269035,-0.523
-8.42997638,2.667
-0.524100083200001,3.269
-6.0855934343,-5.141
-1.8912153892,-1.209
1.4726608877,-1.221
-9.39330767,-1.303
-3.4131680923,0.437
-0.413168092299998,-0.183
-0.966560514100001,-1.011
-5.5006309336,3.395
-6.3439054299,1.351
-7.0570242821,2.128
-6.1680555945,0.781
-2.6979830142,1.3
-1.4767332212,-0.788
-6.9523269035,-0.021
-1.9651532707,-0.605
-3.1921412131,0.329
-6.1945278059,0.172
-7.1680555945,1.745
-6.5830930938,7.039
-5.1680555945,1.331
-4.6963926579,0.186
-1.1701251617,-0.218
-3.5424511093,-0.112
-2.320058688,-0.104
-1.7011488553,-0.555
-0.459523727999999,-0.793
-0.517504752199999,0.166
-6.9367300484,2.295
-2.4131680923,0.636
-6.4131680924,1.729
1.7753725873,0.502
-3.8255511382,1.032
-9.7008804719,0.954
-3.5409236396,1.42
-1.9981305931,0.43
-0.413168092299998,0.974
-0.413168092299998,-4.249
-4.1136078105,3.829
0.118398151400001,-0.928
-4.320058688,-0.139
2.1173466243,-0.2
-0.565767217699998,-0.708
-1.7616903973,1.924
-6.2728064053,3.087
-0.168545723699999,0.154
-2.8019071048,0.085
3.3807663139,-2.547
-6.1680555945,-0.577
-4.7205966176,-0.225
5.3550162324,-0.593
0.416906906200001,0.263
-10.342426501,-0.559
-1.4008533077,-0.267
-9.4711598151,0.311
-1.4131680923,-0.709
-8.4684505278,-2.15
-8.84779632,-0.164
1.2690916097,-0.209
-2.9606558877,-0.431
0.586831907600001,0.372
-1.3240275902,-0.416
-0.00957412650000045,-1.197
-0.413168092299998,-1.314
5.156687516,-1.11
0.586831907600001,-0.109
-7.8889015233,-0.223
-6.5006309336,-0.648
-0.413168092299998,-0.05
-1.3916203117,0.774
1.0201547599,-1.008
-1.8405893161,0.219
4.6742947489,-0.462
-3.4131680923,-0.634
-1.6389751781,-0.311
-1.3118847565,-2.064
0.171794408300002,0.526
0.979149330400002,1.269
0.589343126800001,1.158
-0.923836810800001,1.112
0.882415007300001,-2.254
1.8802535748,-1.175
1.9280655253,-1.756
-0.413168092299998,-3.206
-0.413168092299998,-0.042
-5.723023355,0.659
-5.5006309336,-0.443
-7.0855934343,-0.568
-6.1410885469,1.248
-6.4355359054,-0.496
-7.473864024,-0.488
-6.4355359054,2.791
-2.4131680923,2.283
-6.622621458,-1.577
-2.7758978237,-3.127
-5.6985703112,-2.328
-7.1410885469,-1.43
-0.822423239100001,0.06
1.5267653391,-0.293
-5.5147061188,0.331
-2.1800709707,-0.755
1.0359626055,-0.649
-5.622621458,-0.523
4.2057417403,0.512
1.3892319477,-0.911
-0.476826729600003,0.723
-5.84779632,-0.13
-0.413168092299998,-0.326
-1.4131680923,0.528
-1.9492209926,0.465
-0.5949023961,-2.578
-0.413168092299998,-1.552
-7.3904480158,-0.546
-5.9050211887,1.455
3.2951768238,1.203
-7.9050211887,2.457
-3.6998453401,2.558
1.6621200349,0.911
-2.4302416058,0.449
2.4093732335,1.308
-1.5930771824,-0.184
-2.7350961872,-0.425
1.9087600025,1.845
-0.8282055916,1.301
-9.12741361,-0.204
-0.7350961872,1.295
-6.3439054299,-1.156
-5.0130809345,0.212
-4.7589429292,0.863
-0.314813020400001,0.806
-1.2108599171,0.6
-0.841261744499999,1.188
-8.8766924656,0.227
-0.413168092299998,0.426
-1.2143178649,-0.098
-1.6642005618,3.65
0.160298769499999,2.804
-1.1847104431,-0.044
-0.9662465321,-0.492
-1.4928952849,1.92
-5.2205230144,1.768
-1.5942336514,0.661
-0.105739567200001,1.278
-4.469436312,-0.782
-2.4131680923,0.419
-2.35983859,-0.521
-4.8912153892,-0.652
-1.0805927533,-0.323
-4.872599711,0.147
0.274887901300001,1.071
-1.1489408837,-0.337
-4.2838850754,2.247
-0.3491874664,-0.063
-2.2706926107,0.508
-2.9981305931,-1.089
-1.4792572828,0.857
-6.1258861403,0.699
1.4493283838,-0.685
-7.7440849705,-1.147
-6.9981305931,-0.552
-7.872599711,1.612
-6.3360002318,2.322
-0.528645309800002,-0.407
1.251964757,0.121
-2.065244789,0.022
-7.0570242821,0.447
-1.5821662097,-0.124
-2.224134268,-0.33
-7.1410885469,-2.393
-1.9981305931,-3.168
-0.583093093799999,-2.994
-5.1074292356,-0.474
-5.4131680923,-2.062
-4.5651711858,-0.081
0.908760002499999,0.104
-9.6347552136,-0.077
-6.9830237007,-0.225
-5.8225590285,-0.367
-0.413168092299998,0.65
0.429592165800001,-0.581
-4.872599711,0.871
-0.413168092299998,0.587
0.9758741984,0.654
-0.852239283899999,0.133
-1.0066926066,0.202
1.1647049835,0.719
-4.4131680923,-0.456
1.0326316606,0.91
-1.4131680923,0.915
-2.0328316842,-1.779
-0.413168092299998,0.092
-0.150133686500002,1.055
-7.670555935,1.626
-3.0630572298,-0.826
-0.413168092299998,-1.096
-1.7082348471,1.489
-1.5391977454,1.517
-6.2711490875,-0.734
0.809224328900001,2.005
-1.5062774967,0.332
-2.0954277945,0.65
3.0462635263,0.281
-2.3766422164,-0.542
-2.7312092652,-1.085
-0.413168092299998,0.394
-0.413168092299998,0.365
-0.413168092299998,-0.37
-0.413168092299998,-2.04
-0.5924341405,1.653
-7.679954633,0.971
-0.413168092299998,1.331
-4.872599711,-2.814
-0.413168092299998,-0.559
-0.8444509219,-0.031
-1.7730640374,-1.149
-5.2205230144,-2.328
-7.4131680923,-1.225
-1.9981305931,-0.211
1.64951744978,0.322
